numero_lista,titulo_lista,titulo_corrigido,id_gregobase,titulo_encontrado
1,Accedite ad Dominum,Accedite ad Dominum,366,Accedite ad Dominum
2,Ad Cenam Agni (Tempo Pascal),Ad Cenam Agni (Tempo Pascal),NAO ENCONTRADO,NAO ENCONTRADO
3,Adoremus in aeternum,Adoremus in aeternum,3017,Adoremus in aeternum
4,Adoremus in aeternum,Adoremus in aeternum,4010,Adoremus in aeternum II
5,Adoro te devote,Adoro te devote,3020,Adoro te devote
6,Adoro te devote (Ambrosiano),Adoro te devote (Ambrosiano),3020,Adoro te devote
7,aeterne Rex altissime,aeterne Rex altissime,2092,Aeterne Rex altissime
8,Anima Christi,Anima Christi,3022,Anima Christi
9,Anima Christi (Ambrosiano),Anima Christi (Ambrosiano),3022,Anima Christi
10,Anima Christi (Ambrosiano),Anima Christi (Ambrosiano),8176,Anima Christi III
11,Anima Christi... Miserere (Ambrosiano),Anima Christi... Miserere (Ambrosiano),3022,Anima Christi
12,Ave verum,Ave verum,2441,Ave verum
13,Ave verum (Ambrosiano),Ave verum (Ambrosiano),2441,Ave verum
14,"Christe, vivens Hostia","Christe, vivens Hostia",18628,"Christe, vivens hostia"
15,Christum Regem,Christum Regem,8717,Christum Regem adoremus
16,Cor Dulce Jesu (Coração Eucarístico de Jesus),Cor Dulce Jesu (Coração Eucarístico de Jesus),NAO ENCONTRADO,NAO ENCONTRADO
17,Ecce Panis Angelorum,Ecce Panis Angelorum,3025,Ecce panis Angelorum
18,Ego sum panis,Ego sum panis,2047,Ego sum panis vivus
19,Ego sum panis (Ambrosiano),Ego sum panis (Ambrosiano),2047,Ego sum panis vivus
20,Homo quidam,Homo quidam,1928,Homo quidam descendebat
21,Homo quidam (Ambrosiano),Homo quidam (Ambrosiano),1928,Homo quidam descendebat
22,"Jesu, autor clementiae (Ss. Coração de Jesus)","Jesu, autor clementiae (Ss. Coração de Jesus)",8737,Jesu auctor clementiae
23,"Jesu, decus angelicum (Ss. Nome de Jesus)","Jesu, decus angelicum (Ss. Nome de Jesus)",3967,Jesu decus angelicum
24,"Jesu, dulcis amor (Tempo da Paixão)","Jesu, dulcis amor (Tempo da Paixão)",3311,Jesu dulcis amor
25,"Jesu, dulcis memoria (Ss. Nome de Jesus)","Jesu, dulcis memoria (Ss. Nome de Jesus)",1911,Jesu dulcis memoria
26,"Jesu, nostra refectio","Jesu, nostra refectio",3321,Jesu nostra refectio
27,"Jesu, Rex admirabilis (Ss. Nome de Jesus)","Jesu, Rex admirabilis (Ss. Nome de Jesus)",8171,Jesu Rex admirabilis
28,Laetamini unanimi,Laetamini unanimi,19332,Laetamini unanimi
29,O Mysterium ineffabile,O Mysterium ineffabile,NAO ENCONTRADO,NAO ENCONTRADO
30,O Panis dulcissime,O Panis dulcissime,3032,O Panis dulcissime
31,O quam amabilis,O quam amabilis,NAO ENCONTRADO,NAO ENCONTRADO
32,O quam suavis,O quam suavis,2826,O quam suavis
33,O quam suavis (Ambrosiano),O quam suavis (Ambrosiano),2826,O quam suavis
34,O sacrum convivium,O sacrum convivium,2299,O sacrum convivium
35,O sacrum convivium (Ambrosiano),O sacrum convivium (Ambrosiano),2299,O sacrum convivium
36,Pange Lingua,Pange Lingua,463,Pange lingua... Praelium
37,Pange Lingua (Ambrosiano),Pange Lingua (Ambrosiano),463,Pange lingua... Praelium
38,Pange Lingua (Ambrosiano – melodia antiquior),Pange Lingua (Ambrosiano – melodia antiquior),463,Pange lingua... Praelium
39,Quotiescumque (Ambrosiano),Quotiescumque (Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
40,Sacris Solemniis,Sacris Solemniis,1917,Sacris solemniis (another chant)
41,Sacris solemniis (Alter tonus),Sacris solemniis (Alter tonus),1917,Sacris solemniis (another chant)
42,Salutis humanae Sator,Salutis humanae Sator,2828,Salutis humanae Sator
43,Salve Lux mundi,Salve Lux mundi,8111,Salve lux mundi!
44,Sancti venite,Sancti venite,17829,Sancti venite Christi
45,Totus formosus,Totus formosus,7654,Totus formosus!
46,Ubi caritas,Ubi caritas,1013,Ubi caritas
47,Unus panis,Unus panis,147,Unus panis
48,Verbum supernum,Verbum supernum,53,Verbum supernum prodiens nec
49,Verbum supernum (Ambrosiano),Verbum supernum (Ambrosiano),53,Verbum supernum prodiens nec
50,Verbum supernum (Ambrosiano),Verbum supernum (Ambrosiano),3932,Verbum supernum prodiens nec
51,Ave Maria,Ave Maria,210,Ave Maria (Offertorium)
52,Ave Maris Stella,Ave Maris Stella,1900,Ave maris stella (another chant) (2)
53,Ave Maris Stella (Alter tonus),Ave Maris Stella (Alter tonus),1900,Ave maris stella (another chant) (2)
54,Ave Maria... Virgo serena,Ave Maria... Virgo serena,4627,Ave Maria... virgo serena
55,Concordi laetitia,Concordi laetitia,3322,Concordi laetitia
56,Cum Jubilo,Cum Jubilo,NAO ENCONTRADO,NAO ENCONTRADO
57,Dum vitam in Ara (Sete Dores – Ambrosiano),Dum vitam in Ara (Sete Dores – Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
58,Flos Carmeli,Flos Carmeli,4588,Flos Carmeli
59,Memorare,Memorare,4066,Memorare
60,Mysterium Ecclesiae,Mysterium Ecclesiae,9819,Mysterium Ecclesiae
61,O quam amabilis,O quam amabilis,NAO ENCONTRADO,NAO ENCONTRADO
62,Omni die dic Mariae,Omni die dic Mariae,17174,Omni die dic Mariae(mới)
63,O quot undis (Tempo da Paixão),O quot undis (Tempo da Paixão),4095,O quot undis lacrimarum
64,Salve Mater,Salve Mater,82,Salve Mater
65,Salve Virgo singularis,Salve Virgo singularis,4084,Salve Virgo singularis
66,Sub tuum praesidium,Sub tuum praesidium,2064,Sub tuum praesidium
67,Summae Deus clementiae (Tempo da Paixão),Summae Deus clementiae (Tempo da Paixão),4094,Summae Deus clementiae septem
68,Tota Pulchra,Tota Pulchra,1057,Tota pulchra es Maria (All)
69,Tota Pulchra (Ambrosiano),Tota Pulchra (Ambrosiano),1057,Tota pulchra es Maria (All)
70,Verbum bonum (Tempo da Epifania),Verbum bonum (Tempo da Epifania),4086,Verbum bonum et suave
71,Virgo Maria,Virgo Maria,2360,Beata es Virgo Maria quae (Ant)
72,Virgo prudentissima,Virgo prudentissima,2183,Virgo prudentissima
73,Antiphonae Majores,Antiphonae Majores,NAO ENCONTRADO,NAO ENCONTRADO
74,Conditor alme siderum (Ambrosiano),Conditor alme siderum (Ambrosiano),4146,Conditor alme siderum
75,Creator alme siderum,Creator alme siderum,2134,Creator alme siderum
76,Em clara vox,Em clara vox,3958,En clara vox
77,"Kyrie, salve","Kyrie, salve",2614,Kyrie (ad lib.) XI. - Kyrie Salve
78,Rorate Caeli,Rorate Caeli,79,Rorate... Ps. Caeli enarrant
79,Rorate Caeli (Ambrosiano),Rorate Caeli (Ambrosiano),79,Rorate... Ps. Caeli enarrant
80,"Veni, Redemptor gentium","Veni, Redemptor gentium",4241,Veni Redemptor gentium
81,"Veni, veni Emmanuel","Veni, veni Emmanuel",7426,Veni veni Emmanuel
82,Verbum supernum... a Patre,Verbum supernum... a Patre,4486,Verbum supernum a Patre
83,A solis ortus,A solis ortus,2628,A solis ortus cardine
84,Candor aeterne,Candor aeterne,NAO ENCONTRADO,NAO ENCONTRADO
85,Christe Redemptor omnium,Christe Redemptor omnium,4245,Christe Redemptor omnium
86,Christus natus est,Christus natus est,2486,Hodie Christus natus est
87,Ecce nomen Domini,Ecce nomen Domini,2875,Ecce nomen Domini venit
88,Intende qui regis (Ambrosiano),Intende qui regis (Ambrosiano),1157,Qui regis Israel
89,Jesu Redemptor omnium,Jesu Redemptor omnium,3001,Jesu Redemptor omnium (T. Nativitatis)
90,Laetabundus,Laetabundus,3028,Laetabundus
91,Puer natus,Puer natus,72,Puer natus est
92,Resonet in laudibus,Resonet in laudibus,7427,Resonet in laudibus
93,Crudelis Herodes,Crudelis Herodes,1825,Crudelis Herodes Deum (another chant)
94,Crudelis Herodes (Alter tonus),Crudelis Herodes (Alter tonus),1825,Crudelis Herodes Deum (another chant)
95,Epiphaniam Domino,Epiphaniam Domino,NAO ENCONTRADO,NAO ENCONTRADO
96,Herodis insanus furor (Ambrosiano),Herodis insanus furor (Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
97,"Illuminans, Altissime (Ambrosiano)","Illuminans, Altissime (Ambrosiano)",NAO ENCONTRADO,NAO ENCONTRADO
98,Magi videntes,Magi videntes,2368,Magi videntes stellam
99,O sola magnarum,O sola magnarum,2999,O sola magnarum
100,Quicumque Christus,Quicumque Christus,NAO ENCONTRADO,NAO ENCONTRADO
101,Attende Domine,Attende Domine,3021,Attende Domine
102,Audi benigne Conditor,Audi benigne Conditor,1830,Audi benigne Conditor
103,Audi benigne Conditor (Ambrosiano),Audi benigne Conditor (Ambrosiano),1830,Audi benigne Conditor
104,Christe qui lux,Christe qui lux,6927,Christe qui lux
105,Ex more docti (Ambrosiano),Ex more docti (Ambrosiano),8059,Ex more docti mystico
106,Exite Sion,Exite Sion,NAO ENCONTRADO,NAO ENCONTRADO
107,Gloriam sacrae,Gloriam sacrae,NAO ENCONTRADO,NAO ENCONTRADO
108,"Jesu, quadragenariae","Jesu, quadragenariae",NAO ENCONTRADO,NAO ENCONTRADO
109,"Lux alma, Christe (Ambrosiano)","Lux alma, Christe (Ambrosiano)",4041,Lux alma Jesu
110,Media vita,Media vita,3973,Media vita
111,Miserere et parce,Miserere et parce,18253,Miserere et parce
112,O Caput cruentatum,O Caput cruentatum,18337,O Caput cruentatum
113,O sol salutis,O sol salutis,12159,O sol salutis intimis
114,Parce Domine,Parce Domine,3038,Parce Domine
115,Precemur omnes,Precemur omnes,16934,Precemur omnes cernui
116,Quaenam lingua tibi,Quaenam lingua tibi,NAO ENCONTRADO,NAO ENCONTRADO
117,Hymnum canamus (Para a Quinta-feira Santa – Ambrosiano),Hymnum canamus (Para a Quinta-feira Santa – Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
118,Kyrie,Kyrie,137,Kyrie XIII
119,O Crux benedicta (Ambrosiano),O Crux benedicta (Ambrosiano),1920,O crux benedicta quae
120,O Crux splendidior,O Crux splendidior,1907,O crux splendidior
121,Salve Crux Sancta,Salve Crux Sancta,4823,Salve Crux sancta
122,Vexilla Regis,Vexilla Regis,2120,Vexilla Regis prodeunt
123,Vexilla Regis (Ambrosiano),Vexilla Regis (Ambrosiano),2120,Vexilla Regis prodeunt
124,Ad regias Agni dapes,Ad regias Agni dapes,2473,Ad regias Agni dapes (another chant)
125,Ad regias Agni dapes (Alter tonus),Ad regias Agni dapes (Alter tonus),2473,Ad regias Agni dapes (another chant)
126,Chorus novus Jerusalem,Chorus novus Jerusalem,NAO ENCONTRADO,NAO ENCONTRADO
127,Christus resurrexit,Christus resurrexit,15063,Christus resurrexit
128,Ego sum Alpha,Ego sum Alpha,3976,Ego sum Alpha
129,Exsultemus et laetemur,Exsultemus et laetemur,18749,Exsultemus et laetemur
130,Hic est dies (Ambrosiano),Hic est dies (Ambrosiano),9484,Hic est dies praeclarus (Resp.)
131,"Laetare, caelum","Laetare, caelum",10293,Laetare caelum desuper
132,Lux et origo,Lux et origo,15182,Lux et origo
133,O filii et filiae,O filii et filiae,3031,O filii et filiae
134,O Rex aeterne,O Rex aeterne,2092,Aeterne Rex altissime
135,Rex sempiterne cœlitum,Rex sempiterne cœlitum,8122,Rex sempiterne coelitum
136,Salve festa dies,Salve festa dies,8241,Salve festa dies
137,Optatus votis omnium,Optatus votis omnium,15200,Optatus votis omnium
138,Optatus orbis gaudio (Ambrosiano),Optatus orbis gaudio (Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
139,Beata nobis gaudia,Beata nobis gaudia,2926,Beata nobis gaudia
140,Jam Christus astra,Jam Christus astra,2721,Jam Christus astra
141,Jam Christus astra (Ambrosiano),Jam Christus astra (Ambrosiano),2721,Jam Christus astra
142,"Veni, Creator","Veni, Creator",2923,Veni Creator Spiritus
143,"Veni, Sancte Spiritus","Veni, Sancte Spiritus",68,Veni Sancte Spiritus et emitte
144,"Adesto, Sancta Trinitas","Adesto, Sancta Trinitas",3981,Adesto sancta Trinitas
145,Imensa et Una,Imensa et Una,NAO ENCONTRADO,NAO ENCONTRADO
146,"Kyrie, fons bonitatis","Kyrie, fons bonitatis",3983,Kyrie fons bonitatis
147,Te Patrem summum,Te Patrem summum,15454,Te Patrem summum
148,Auctor beate saeculi,Auctor beate saeculi,3988,Auctor beate saeculi
149,Cor arca legem,Cor arca legem,2391,Cor arca legem continens
150,"Cor Jesu, caritatis","Cor Jesu, caritatis",3987,Cor Jesu caritatis I
151,Em ut superba,Em ut superba,2335,En ut superba
152,"Jesu, autor clementiae","Jesu, autor clementiae",8737,Jesu auctor clementiae
153,"Lux alma, Jesu","Lux alma, Jesu",4041,Lux alma Jesu
154,Summi Parentis,Summi Parentis,3990,Summi Parentis Filio
155,Festivis resonent,Festivis resonent,2839,Festivis resonent
156,Salvete Christi vulnera,Salvete Christi vulnera,2294,Salvete Christi vulnera
157,"Plaude, Mater caritatis (Ambrosiano)","Plaude, Mater caritatis (Ambrosiano)",NAO ENCONTRADO,NAO ENCONTRADO
158,Quicumque Christum quaeritis,Quicumque Christum quaeritis,8427,Quicumque Christum quaeritis
159,aeterna imago Altissimus,aeterna imago Altissimus,9425,Aeterna imago Altissimi
160,Christus vincit (Ambrosiano),Christus vincit (Ambrosiano),3012,Christus vincit
161,Te saeculorum Principem,Te saeculorum Principem,2654,Te saeculorum Principem
162,Te saeculorum Principem (Ambrosiano),Te saeculorum Principem (Ambrosiano),2654,Te saeculorum Principem
163,Vexilla Christus,Vexilla Christus,2588,Vexilla Christus
164,O gente felix (Ambrosiano),O gente felix (Ambrosiano),4913,O gente felix
165,O lux beata caelitum,O lux beata caelitum,2224,O lux beata Caelitum
166,aeterne rerum Conditor,aeterne rerum Conditor,4137,Aeterne rerum Conditor
167,aeterne rerum Conditor (Ambrosiano),aeterne rerum Conditor (Ambrosiano),4137,Aeterne rerum Conditor
168,"Deus, Creator omnium","Deus, Creator omnium",7367,Deus creator omnium
169,"Deus, Creator omnium (Ambrosiano)","Deus, Creator omnium (Ambrosiano)",7367,Deus creator omnium
170,"Kyrie, Rex aeterno","Kyrie, Rex aeterno",NAO ENCONTRADO,NAO ENCONTRADO
171,Lucis creator optime,Lucis creator optime,2014,Lucis Creator optime
172,Lucis creator optime (Alter tonus),Lucis creator optime (Alter tonus),2014,Lucis Creator optime
173,Orbis factor,Orbis factor,9491,Orbis Factor
174,Quando Deus (Ao fim do ano litúrgico),Quando Deus (Ao fim do ano litúrgico),NAO ENCONTRADO,NAO ENCONTRADO
175,"Rerum, Deus, fons","Rerum, Deus, fons",4637,Rerum Deus fons
176,Splendor paternae gloriae,Splendor paternae gloriae,4141,Splendor paternae gloriae
177,Dignum canentes Angeli (Ambrosiano),Dignum canentes Angeli (Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
178,Iste Confessor,Iste Confessor,1919,Iste Confessor (Conf. Bishop) (another chant)
179,Laudemus Deum nostrum,Laudemus Deum nostrum,10451,Laudemus Deum nostrum
180,Te Joseph celebrent,Te Joseph celebrent,2235,Te Joseph celebrent
181,Ut queant laxis,Ut queant laxis,2539,Ut queant laxis
182,Nostrae salutis Nunctio,Nostrae salutis Nunctio,14442,Salutis nostrae Auctorem
183,Placare Christus servulis,Placare Christus servulis,2829,Placare Christe servulis
184,Deo fruentes fulgidae (Ambrosiano),Deo fruentes fulgidae (Ambrosiano),NAO ENCONTRADO,NAO ENCONTRADO
185,Credo quod Redemptor,Credo quod Redemptor,3185,Credo quod Redemptor
186,In paradisum,In paradisum,517,In paradisum
187,"Spes, Christe","Spes, Christe",15716,"Spes, Christe, nostrae veniae"
